"filename", "language", "Vue", "JavaScript", "CSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\dizad\Desktop\projects\oma\app\client\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\dizad\Desktop\projects\oma\app\client\package-lock.json", "JSON", 0, 0, 0, 12021, 0, 0, 1, 12022
"c:\Users\dizad\Desktop\projects\oma\app\client\package.json", "JSON", 0, 0, 0, 55, 0, 0, 1, 56
"c:\Users\dizad\Desktop\projects\oma\app\client\public\index.html", "HTML", 0, 0, 0, 0, 28, 3, 0, 31
"c:\Users\dizad\Desktop\projects\oma\app\client\public\style.css", "CSS", 0, 0, 172, 0, 0, 12, 38, 222
"c:\Users\dizad\Desktop\projects\oma\app\client\src\app.vue", "Vue", 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\dizad\Desktop\projects\oma\app\client\src\bridge.js", "JavaScript", 0, 128, 0, 0, 0, 17, 13, 158
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\charts\pie.vue", "Vue", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\dialogs\about.vue", "Vue", 74, 0, 0, 0, 0, 10, 0, 84
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\dialogs\confirm.vue", "Vue", 68, 0, 0, 0, 0, 9, 0, 77
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\dialogs\eula.vue", "Vue", 72, 0, 0, 0, 0, 10, 0, 82
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\dialogs\event.vue", "Vue", 101, 0, 0, 0, 0, 11, 0, 112
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\dialogs\generic.vue", "Vue", 137, 0, 0, 0, 0, 16, 1, 154
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\dialogs\license.vue", "Vue", 224, 0, 0, 0, 0, 23, 0, 247
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\dialogs\save.vue", "Vue", 75, 0, 0, 0, 0, 9, 0, 84
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\dialogs\schedule.vue", "Vue", 994, 0, 0, 0, 0, 61, 68, 1123
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\dialogs\user.vue", "Vue", 365, 0, 0, 0, 0, 29, 0, 394
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\dialogs\zone.vue", "Vue", 419, 0, 0, 0, 0, 28, 0, 447
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\generics\banner.vue", "Vue", 343, 0, 0, 0, 0, 33, 1, 377
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\generics\pie.js", "JavaScript", 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\dizad\Desktop\projects\oma\app\client\src\main.js", "JavaScript", 0, 13, 0, 0, 0, 2, 2, 17
"c:\Users\dizad\Desktop\projects\oma\app\client\src\pages\dashboard.vue", "Vue", 187, 0, 0, 0, 0, 17, 1, 205
"c:\Users\dizad\Desktop\projects\oma\app\client\src\pages\login.vue", "Vue", 177, 0, 0, 0, 0, 23, 0, 200
"c:\Users\dizad\Desktop\projects\oma\app\client\src\pages\properties.vue", "Vue", 712, 0, 0, 0, 0, 75, 4, 791
"c:\Users\dizad\Desktop\projects\oma\app\client\src\pages\scheduling.vue", "Vue", 602, 0, 0, 0, 0, 49, 21, 672
"c:\Users\dizad\Desktop\projects\oma\app\client\src\pages\settings.vue", "Vue", 162, 0, 0, 0, 0, 20, 0, 182
"c:\Users\dizad\Desktop\projects\oma\app\client\src\pages\tracking.vue", "Vue", 433, 0, 0, 0, 0, 57, 5, 495
"c:\Users\dizad\Desktop\projects\oma\app\client\src\routing.config.js", "JavaScript", 0, 36, 0, 0, 0, 2, 1, 39
"c:\Users\dizad\Desktop\projects\oma\app\client\src\utils\converters.js", "JavaScript", 0, 23, 0, 0, 0, 7, 0, 30
"c:\Users\dizad\Desktop\projects\oma\app\client\src\utils\references.js", "JavaScript", 0, 55, 0, 0, 0, 1, 0, 56
"c:\Users\dizad\Desktop\projects\oma\app\client\src\utils\utils.js", "JavaScript", 0, 23, 0, 0, 0, 4, 0, 27
"c:\Users\dizad\Desktop\projects\oma\app\client\vue.config.js", "JavaScript", 0, 12, 0, 0, 0, 2, 1, 15
"Total", "-", 5148, 303, 172, 12076, 28, 530, 161, 18418
